"country_txt","code","nkill","nwound"
"Burundi","BDI","3383","2251"
"Ukraine","UKR","2447","3222"
"Burkina Faso","BFA","138","227"
"Moldova","MDA","11","78"
"Armenia","ARM","37","74"
"Russia","RUS","4353","7654"
"Ivory Coast","CIV","268","182"
"Antigua and Barbuda","ATG","2","3"
"Bosnia-Herzegovina","BIH","85","159"
"Tajikistan","TJK","280","1047"
"Malawi","MWI","33","0"
"Uzbekistan","UZB","68","200"
"Latvia","LVA","2","39"
"Estonia","EST","3","11"
"Vietnam","VNM","1","27"
"Kazakhstan","KAZ","37","21"
"Comoros","COM","1","2"
"Benin","BEN","0","7"
"Slovak Republic","SVK","7","11"
"Macedonia","MKD","55","72"
"Wallis and Futuna","WLF","0","0"
"Belarus","BLR","16","215"
"Czech Republic","CZE","6","29"
"Slovenia","SVN","1","2"
"Gambia","GMB","13","2"
"North Korea","PRK","3","4"
"Eritrea","ERI","25","28"
"St. Kitts and Nevis","KNA","0","9"
"French Polynesia","PYF","0","13"
"Macau","MAC","3","49"
"Kyrgyzstan","KGZ","12","24"
"Vanuatu","VUT","0","0"
"Democratic Republic of the Congo","COD","4192","1926"
"Solomon Islands","SLB","4","0"
"East Timor","TLS","8","10"
"St. Lucia","LCA","2","12"
"Guinea-Bissau","GNB","17","30"
"Montenegro","MNE","1","0"
"Turkmenistan","TKM","3","3"
"Bhutan","BTN","11","7"
"Serbia","SRB","3","9"
"Equatorial Guinea","GNQ","1","3"
"South Sudan","SSD","2687","1475"
