"iyear","nkill","nwound","attacktype1","nattack"
"1977","134","196","Assassination","139"
"1977","189","260","Armed Assault","251"
"1977","151","511","Bombing/Explosion","610"
"1977","107","14","Hijacking","7"
"1977","5","12","Hostage taking (barricade incident)","13"
"1977","53","56","Hostage taking (kidnapping)","57"
"1977","26","52","Facility/Infraestructure attack","179"
"1977","0","0","Unarmed assault","0"
"1977","12","11","Unknown","14"
"1978","242","118","Assassination","242"
"1978","306","337","Armed Assault","228"
"1978","425","1258","Bombing/Explosion","620"
"1978","0","0","Hijacking","0"
"1978","56","102","Hostage taking (barricade incident)","41"
"1978","72","87","Hostage taking (kidnapping)","74"
"1978","450","93","Facility/Infraestructure attack","170"
"1978","7","3","Unarmed assault","5"
"1978","74","56","Unknown","47"
"1979","472","208","Assassination","498"
"1979","587","661","Armed Assault","413"
"1979","834","1974","Bombing/Explosion","1009"
"1979","2","3","Hijacking","9"
"1979","25","32","Hostage taking (barricade incident)","74"
"1979","162","169","Hostage taking (kidnapping)","133"
"1979","178","231","Facility/Infraestructure attack","183"
"1979","3","7","Unarmed assault","7"
"1979","236","190","Unknown","164"
"1980","686","296","Assassination","586"
"1980","2615","866","Armed Assault","539"
"1980","1088","3211","Bombing/Explosion","955"
"1980","0","0","Hijacking","13"
"1980","29","37","Hostage taking (barricade incident)","49"
"1980","203","173","Hostage taking (kidnapping)","127"
"1980","119","154","Facility/Infraestructure attack","161"
"1980","5","0","Unarmed assault","2"
"1980","222","135","Unknown","88"
"1981","457","248","Assassination","390"
"1981","3180","1234","Armed Assault","646"
"1981","1557","3204","Bombing/Explosion","1039"
"1981","11","14","Hijacking","18"
"1981","20","29","Hostage taking (barricade incident)","30"
"1981","165","186","Hostage taking (kidnapping)","113"
"1981","75","106","Facility/Infraestructure attack","136"
"1981","1","0","Unarmed assault","2"
"1981","249","76","Unknown","62"
"1982","575","273","Assassination","341"
"1982","3684","1049","Armed Assault","608"
"1982","1542","3696","Bombing/Explosion","1060"
"1982","4","6","Hijacking","7"
"1982","78","120","Hostage taking (barricade incident)","50"
"1982","135","157","Hostage taking (kidnapping)","91"
"1982","141","214","Facility/Infraestructure attack","142"
"1982","2","6","Unarmed assault","3"
"1982","176","89","Unknown","61"
"1983","452","177","Assassination","338"
"1983","6058","1808","Armed Assault","745"
"1983","2272","3964","Bombing/Explosion","1166"
"1983","2","3","Hijacking","7"
"1983","19","40","Hostage taking (barricade incident)","26"
"1983","154","197","Hostage taking (kidnapping)","105"
"1983","113","160","Facility/Infraestructure attack","131"
"1983","0","0","Unarmed assault","2"
"1983","421","192","Unknown","99"
"1984","514","198","Assassination","396"
"1984","5430","1493","Armed Assault","694"
"1984","2317","3695","Bombing/Explosion","1658"
"1984","28","18","Hijacking","13"
"1984","207","222","Hostage taking (barricade incident)","25"
"1984","101","85","Hostage taking (kidnapping)","66"
"1984","139","108","Facility/Infraestructure attack","151"
"1984","0","780","Unarmed assault","6"
"1984","941","243","Unknown","123"
"1985","374","212","Assassination","291"
"1985","3555","1075","Armed Assault","559"
"1985","2186","4234","Bombing/Explosion","1402"
"1985","85","33","Hijacking","13"
"1985","29","34","Hostage taking (barricade incident)","51"
"1985","36","26","Hostage taking (kidnapping)","109"
"1985","121","151","Facility/Infraestructure attack","133"
"1985","5","4","Unarmed assault","3"
"1985","280","134","Unknown","101"
"1986","447","182","Assassination","355"
"1986","1982","921","Armed Assault","510"
"1986","1386","4716","Bombing/Explosion","1454"
"1986","84","182","Hijacking","3"
"1986","4","5","Hostage taking (barricade incident)","26"
"1986","155","60","Hostage taking (kidnapping)","83"
"1986","325","150","Facility/Infraestructure attack","137"
"1986","3","41","Unarmed assault","5"
"1986","845","245","Unknown","103"
"1987","686","280","Assassination","480"
"1987","3253","1316","Armed Assault","728"
"1987","1708","3886","Bombing/Explosion","1396"
"1987","1","0","Hijacking","2"
"1987","8","3","Hostage taking (barricade incident)","24"
"1987","34","32","Hostage taking (kidnapping)","87"
"1987","7","9","Facility/Infraestructure attack","116"
"1987","21","143","Unarmed assault","2"
"1987","471","265","Unknown","150"
"1988","1132","274","Assassination","766"
"1988","3275","1467","Armed Assault","813"
"1988","1698","4791","Bombing/Explosion","1586"
"1988","6","16","Hijacking","8"
"1988","0","0","Hostage taking (barricade incident)","15"
"1988","73","5","Hostage taking (kidnapping)","93"
"1988","28","8","Facility/Infraestructure attack","149"
"1988","1","25","Unarmed assault","5"
"1988","87","117","Unknown","35"
"1989","1313","413","Assassination","941"
"1989","4375","1482","Armed Assault","1031"
"1989","1702","3370","Bombing/Explosion","1761"
"1989","3","3","Hijacking","13"
"1989","21","12","Hostage taking (barricade incident)","18"
"1989","94","2","Hostage taking (kidnapping)","124"
"1989","22","39","Facility/Infraestructure attack","232"
"1989","18","32","Unarmed assault","6"
"1989","40","13","Unknown","17"
"1990","1093","250","Assassination","840"
"1990","3937","1937","Armed Assault","794"
"1990","982","3319","Bombing/Explosion","1635"
"1990","10","0","Hijacking","8"
"1990","0","0","Hostage taking (barricade incident)","16"
"1990","371","13","Hostage taking (kidnapping)","149"
"1990","11","38","Facility/Infraestructure attack","179"
"1990","21","135","Unarmed assault","6"
"1990","44","1","Unknown","11"
"1991","929","332","Assassination","701"
"1991","5107","3103","Armed Assault","1154"
"1991","1617","3571","Bombing/Explosion","1877"
"1991","5","4","Hijacking","22"
"1991","11","2","Hostage taking (barricade incident)","14"
